 invariant_id,quote_type,quote_value,currency
Z913Y1593,COMPMC,       39384077873.560386,USD
Z913Y1593,PCLOSE,                52.100006,CAD
Z913Y1593,TOTRET,                -0.005155,CAD
Z913Y1593,TRDVOL,           5318036.000000,CAD
Z913Y15A0,COMPMC,       11594834351.110294,USD
Z913Y15A0,PCLOSE,                41.990005,CAD
Z913Y15A0,TOTRET,                -0.012696,CAD
Z913Y15A0,TRDVOL,           1591498.000000,CAD
Z913Y15B8,COMPMC,       18666655371.356895,USD
Z913Y15B8,PCLOSE,                31.199996,CAD
Z913Y15B8,TOTRET,                -0.002876,CAD
Z913Y15B8,TRDVOL,            565282.000000,CAD
Z913Y15C6,COMPMC,       92498002511.199249,USD
Z913Y15C6,PCLOSE,                77.570007,CAD
Z913Y15C6,TOTRET,                -0.007548,CAD
Z913Y15C6,TRDVOL,           3206163.000000,CAD
Z913Y15D4,COMPMC,        5589806148.465235,USD
Z913Y15D4,PCLOSE,                12.720001,CAD
Z913Y15D4,TOTRET,                 0.040916,CAD
Z913Y15D4,TRDVOL,           7065805.000000,CAD
Z913Y15E2,COMPMC,        1780008368.944682,USD
Z913Y15E2,PCLOSE,                 6.510000,CAD
Z913Y15E2,TOTRET,                 0.000000,CAD
Z913Y15E2,TRDVOL,           4452923.000000,CAD
Z913Y15F9,COMPMC,       11444071500.598442,USD
Z913Y15F9,PCLOSE,               111.330009,CAD
Z913Y15F9,TOTRET,                 0.001439,CAD
Z913Y15F9,TRDVOL,            101601.000000,CAD
Z913Y15G7,COMPMC,        8005701314.781802,USD
Z913Y15G7,PCLOSE,                36.100006,CAD
Z913Y15G7,TOTRET,                -0.005235,CAD
Z913Y15G7,TRDVOL,            349876.000000,CAD
Z913Y15J1,COMPMC,       11141300341.483955,USD
Z913Y15J1,PCLOSE,                14.439999,CAD
Z913Y15J1,TOTRET,                -0.021017,CAD
Z913Y15J1,TRDVOL,           2051803.000000,CAD
Z913Y15K8,COMPMC,       19491211048.981842,USD
Z913Y15K8,PCLOSE,                49.699996,CAD
Z913Y15K8,TOTRET,                -0.002409,CAD
Z913Y15K8,TRDVOL,            818078.000000,CAD
Z913Y15L6,COMPMC,        6854950799.951949,USD
Z913Y15L6,PCLOSE,                36.710006,CAD
Z913Y15L6,TOTRET,                 0.000818,CAD
Z913Y15L6,TRDVOL,            783638.000000,CAD
Z913Y15N2,COMPMC,       12173137846.954055,USD
Z913Y15N2,PCLOSE,                19.199996,CAD
Z913Y15N2,TOTRET,                -0.007238,CAD
Z913Y15N2,TRDVOL,           2080829.000000,CAD
Z913Y15P7,COMPMC,       34597988281.250000,USD
Z913Y15P7,PCLOSE,                43.889999,CAD
Z913Y15P7,TOTRET,                -0.008359,CAD
Z913Y15P7,TRDVOL,           1178939.000000,CAD
Z913Y15Q5,COMPMC,       12117981445.312500,USD
Z913Y15Q5,PCLOSE,               114.930000,CAD
Z913Y15Q5,TOTRET,                 0.000348,CAD
Z913Y15Q5,TRDVOL,            394035.000000,CAD
Z913Y15R3,COMPMC,        2711796056.091075,USD
Z913Y15R3,PCLOSE,                21.199996,CAD
Z913Y15R3,TOTRET,                -0.013494,CAD
Z913Y15R3,TRDVOL,            906182.000000,CAD
Z913Y15T9,COMPMC,       13753115131.464256,USD
Z913Y15T9,PCLOSE,                58.399993,CAD
Z913Y15T9,TOTRET,                -0.010169,CAD
Z913Y15T9,TRDVOL,            416509.000000,CAD
Z913Y15U6,COMPMC,       11998529973.043029,USD
Z913Y15U6,PCLOSE,                40.139999,CAD
Z913Y15U6,TOTRET,                -0.009866,CAD
Z913Y15U6,TRDVOL,            475846.000000,CAD
Z913Y15V4,COMPMC,        4505615559.490549,USD
Z913Y15V4,PCLOSE,                14.960000,CAD
Z913Y15V4,TOTRET,                 0.003353,CAD
Z913Y15V4,TRDVOL,           1148113.000000,CAD
Z913Y15W2,COMPMC,       31264499629.061569,USD
Z913Y15W2,PCLOSE,                37.440002,CAD
Z913Y15W2,TOTRET,                -0.014996,CAD
Z913Y15W2,TRDVOL,           3700849.000000,CAD
Z913Y15X0,COMPMC,        6133738281.250000,USD
Z913Y15X0,PCLOSE,                 6.449999,CAD
Z913Y15X0,TOTRET,                 0.007812,CAD
Z913Y15X0,TRDVOL,          13021899.000000,CAD
Z913Y15Y8,COMPMC,       21556370800.533847,USD
Z913Y15Y8,PCLOSE,                68.979995,CAD
Z913Y15Y8,TOTRET,                -0.003467,CAD
Z913Y15Y8,TRDVOL,            505180.000000,CAD
Z913Y15Z5,COMPMC,       15531817382.812500,USD
Z913Y15Z5,PCLOSE,                51.169998,CAD
Z913Y15Z5,TOTRET,                -0.015204,CAD
Z913Y15Z5,TRDVOL,           1352628.000000,CAD
Z913Y1601,COMPMC,       21963433469.369525,USD
Z913Y1601,PCLOSE,                44.050003,CAD
Z913Y1601,TOTRET,                -0.006988,CAD
Z913Y1601,TRDVOL,           2655864.000000,CAD
Z913Y1619,COMPMC,        8959667968.750000,USD
Z913Y1619,PCLOSE,                34.270004,CAD
Z913Y1619,TOTRET,                -0.052267,CAD
Z913Y1619,TRDVOL,           1554799.000000,CAD
Z913Y1627,COMPMC,       29602416485.964008,USD
Z913Y1627,PCLOSE,                18.399993,CAD
Z913Y1627,TOTRET,                -0.015517,CAD
